hotel_id,direction,description,attributes,latitude,longitude,scores
289,"Tampa, 33609, Estados Unidos","El Striking Getaway in Desirable Tampa District! está situado en Tampa, a 6 km del estadio Raymond James y a 7,8 km del Amalie Arena. Dispone de aire acondicionado. Este apartamento se encuentra a 23 km de Adventure Island y a 24 km de la Universidad del Sur de Florida.

Este apartamento de 1 dormitorio cuenta con conexión WiFi gratuita, TV de pantalla plana, lavadora y cocina con horno y microondas. Se proporcionan toallas y ropa de cama.

El anfiteatro 1 800 Ask Gary se encuentra a 21 km del apartamento, mientras que los jardines Busch están a 22 km. El aeropuerto más cercano es el aeropuerto internacional de Tampa, ubicado a 3 km del Striking Getaway in Desirable Tampa District!.",,27.93473987,-82.52393057,
294,"6601 South West Shore Boulevard, Tampa, FL 33616, Estados Unidos","Comfy 2Bd Apt near DT Tampa-parking-BBQ Pool-GYM is located in Tampa, 28 km from Busch Gardens, 29 km from Adventure Island, and 29 km from Chihuly Collection. With free private parking, the property is 13 km from Amalie Arena and 13 km from Raymond James Stadium. The property is non-smoking and is set 27 km from 1 800 Ask Gary Amphitheatre.

Tropicana Field is 29 km from the apartment, while University of South Florida is 29 km from the property. The nearest airport is Tampa International Airport, 10 km from Comfy 2Bd Apt near DT Tampa-parking-BBQ Pool-GYM.","['M South Dog Park\n2,3 km', 'Bobby Hicks Pool\n1,5 km', 'Parking gratis', 'Salty Sol Fleishman Boat Ramp\n2,4 km', 'Interbay Park\n3,2 km', 'Spanish-American War Memorial Park\n550 m', 'Port Tampa Center/Playground\n550 m', 'Southwest Port Tampa Com Center\n1,7 km', 'A.J. Palonis Jr. Park\n2,4 km', 'Palma Ceia Lions Playground\n2 km']",27.8716088,-82.529205,[]
307,"4421 West Wallace Avenue, Tampa, FL 33611, Estados Unidos","El The Big Guava Retreat-3b 2b/POOL/FIRE PIT/ BBQ se encuentra en Tampa y ofrece alojamiento con aire acondicionado, piscina privada, vistas a la piscina y patio. Ofrece terraza, aparcamiento privado gratuito y WiFi gratuita. Cuando hace buen tiempo, los huéspedes pueden salir a disfrutar de la chimenea al aire libre de la casa o relajarse.

La casa es amplia y cuenta con 3 dormitorios, TV de pantalla plana con servicios de streaming, cocina totalmente equipada con lavavajillas y horno, lavadora y 2 baños con bañera. Una entrada privada conduce a los huéspedes a la casa, donde pueden disfrutar de un poco de vino o champán. Esta casa es hipoalergénica y para no fumadores.

La casa cuenta con zona de juegos cubierta y equipo de juegos al aire libre. La casa tiene una zona de picnic donde podrá pasar el día al aire libre.

El aeropuerto más cercano es el aeropuerto internacional de Tampa, ubicado a 10 km del The Big Guava Retreat-3b 2b/POOL/FIRE PIT/ BBQ.",,27.8854619,-82.5206765,[]
315,"12603 Corral Road, Tampa, FL 33626, Estados Unidos","El Phantom History House Castle Room es un establecimiento con salón compartido situado en Tampa, a 24 km del muelle 60, a 26 km del Amalie Arena y a 27 km de los jardines Busch. Se encuentra a 20 km del estadio Raymond James y ofrece aire acondicionado, WiFi gratuita y aparcamiento privado.

Este bed and breakfast está equipado con TV de pantalla plana. Este bed and breakfast proporciona toallas y ropa de cama.

Este bed and breakfast sirve un desayuno continental todas las mañanas.

El Phantom History House Castle Room ofrece una zona de picnic. El alojamiento cuenta con jardín y solárium.

El Phantom History House Castle Room se encuentra a 28 km de Adventure Island y a 29 km de la Universidad del Sur de Florida. El aeropuerto más cercano es el aeropuerto internacional de Tampa, ubicado a 16 km del bed and breakfast.",,28.0425886,-82.6399459,"[{'Habitación Superior - 1 cama grande': '1 cama doble'}, {'Personal': '10'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '10'}, {'Relación calidad-precio': '9.5'}, {'Ubicación': '9.5'}, {'WiFi gratis': '10'}]"
341,"27741 Forester Drive, Bonita Springs, FL 34134, Estados Unidos","El Seaside Escape steps from Bonita Beach se encuentra en Bonita Springs y ofrece alojamiento con aire acondicionado y patio. Ofrece piscina privada, WiFi gratuita y aparcamiento privado gratuito.

La casa cuenta con 3 dormitorios, 3 baños, ropa de cama, toallas, TV de pantalla plana por cable, zona de comedor, cocina totalmente equipada y balcón con vistas al mar.

La casa tiene solárium.

El Seaside Escape steps from Bonita Beach se encuentra a 600 metros de la playa Bonita y de la playa Barefoot. El aeropuerto municipal de Nápoles es el más cercano y queda a 28 km.","['Parking gratis', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis', 'Piscina al aire libre']",26.3345835,-81.8449099,[]
344,"Cabo Coral, 33914, Estados Unidos","El Gorgeous Villa in Cape Coral, Florida's Gulf Coast villa ofrece alojamiento con aire acondicionado y patio en Cape Coral. El establecimiento cuenta con piscina privada y aparcamiento privado gratuito.

Esta villa de 3 dormitorios cuenta con conexión WiFi gratuita, TV de pantalla plana por cable, lavadora y cocina con lavavajillas y horno.

La villa se encuentra a 44 km de la localidad de pescadores y a 32 km de la Cámara de Comercio de Sanibel. El aeropuerto más cercano es el aeropuerto internacional Southwest Florida, ubicado a 32 km del Gorgeous Villa in Cape Coral, Florida's Gulf Coast villa.","['Tostadora', 'Parking gratis', 'Habitaciones sin humo', 'WiFi gratis', 'Piscina al aire libre', 'Cafetera']",26.57,-82.0253,[]
381,"Cabo Coral, 33914, Estados Unidos",,"['Tostadora', 'Habitaciones sin humo', 'Parking en el alojamiento', 'WiFi gratis', 'Piscina al aire libre', 'Cafetera']",26.550568,-82.020917,[]
396,"27414 Pollard Drive, Bonita Springs, 34135, Estados Unidos","El Charming Heated Pool Home está situado en Bonita Springs, a 23 km de Tin City y a 11 km del cine Silverspot, a 3 millas de la playa, para mascotas y familias - Año disponible El Round! ofrece alojamiento con aire acondicionado, patio y WiFi gratuita. Esta casa también tiene piscina privada.

La casa cuenta con 3 dormitorios, TV por cable, cocina equipada con nevera y lavavajillas, lavadora y 2 baños con bañera. Se proporcionan toallas y ropa de cama.

La casa cuenta con piscina al aire libre.

El Charming Heated Pool Home - 3 millas to the Beach, Pet and Family Friendly -Available Year Round! se encuentra a 11 km del parque estatal Delnor-Wiggins Pass y a 15 km del Museo de Arte de Nápoles. El aeropuerto municipal de Nápoles es el más cercano y queda a 29 km.","['Parking gratis', 'Utensilios de cocina', 'Fogones', 'Horno', 'WiFi gratis', 'Piscina al aire libre', 'Parking en la calle']",26.336847,-81.796448,"[{'Personal': '9.4'}, {'Instalaciones y servicios': '9.7'}, {'Limpieza': '9.4'}, {'Confort': '9.7'}, {'Relación calidad-precio': '9.7'}, {'Ubicación': '9.7'}, {'WiFi gratis': '10'}]"
401,"191 Southeast Walters Terrace, Port St. Lucie, FL 34984, Estados Unidos","El Charming vacation home in Port St Lucie cuenta con bañera de hidromasaje. Se encuentra en Port Saint Lucie. El establecimiento cuenta con cocina compartida y zona de picnic. La casa también ofrece WiFi gratuita, aparcamiento privado gratuito e instalaciones para personas de movilidad reducida.

La casa está equipada con 3 dormitorios, 3 baños, ropa de cama, toallas, TV de pantalla plana con servicios de streaming, zona de comedor, cocina totalmente equipada y patio con vistas al jardín. Los alojamientos son cómodos, están insonorizados y cuentan con aire acondicionado y chimenea. El establecimiento cuenta con zona de comedor al aire libre.

La casa cuenta con solárium y chimenea al aire libre.

El Charming vacation home in Port St Lucie se encuentra a 20 km del puerto deportivo de Fort Pierce y a 26 km del parque estatal Fort Pierce Inlet. El aeropuerto municipal de Vero Beach es el más cercano y queda a 53 km.","['Spa y centro de bienestar', 'Gimnasio', 'Adaptado personas de movilidad reducida', 'Parking gratis', 'Habitaciones familiares', 'WiFi gratis']",27.291727,-80.3465912,
504,"2714 Oxymoron Way, Kissimmee, FL 34746, Estados Unidos","El Luxury 9BR Villa @ Storey Lake Resort Near Disney se encuentra en Kissimmee y ofrece alojamiento con piscina privada y vistas al patio interior. El establecimiento alberga un spa y una sala de fitness. Esta villa para no fumadores cuenta con bañera de hidromasaje y WiFi gratuita en todas las instalaciones.

La villa es amplia y cuenta con 9 dormitorios, 5 baños, ropa de cama, toallas, TV de pantalla plana con servicios de streaming, zona de comedor, cocina totalmente equipada y patio con vistas a la piscina. El alojamiento cuenta con aire acondicionado, bañera de hidromasaje y vestidor. Para mayor privacidad, el alojamiento tiene una entrada privada y está protegido por seguridad de día completo.

El establecimiento alberga un bar y un supermercado pequeño.

En la villa se puede jugar al billar y al ping pong. La zona es ideal para practicar senderismo. El Luxury 9BR Villa @ Storey Lake Resort Near Disney cuenta con parque acuático, zona de juegos cubierta y solárium.

Gatorland se encuentra a 12 km del alojamiento, mientras que Disney Springs está a 13 km. El aeropuerto más cercano es el aeropuerto internacional de Orlando, ubicado a 32 km del Luxury 9BR Villa @ Storey Lake Resort Near Disney.",,28.3286545,-81.4539605,"[{'Personal': '9.4'}, {'Instalaciones y servicios': '9.5'}, {'Limpieza': '9.5'}, {'Confort': '9.5'}, {'Relación calidad-precio': '9.5'}, {'Ubicación': '10'}]"
574,"3151 South Babcock Street APT #113, Melbourne, FL 32901, Estados Unidos","El Spacious 2 Bed/2 Bath Condo with Gym and Laundry se encuentra en Melbourne y ofrece alojamiento con aire acondicionado, piscina climatizada, vistas al jardín y patio. El establecimiento cuenta con balcón, aparcamiento privado gratuito y WiFi gratuita.

El apartamento está situado en la planta baja y cuenta con 2 dormitorios, TV de pantalla plana con servicios de streaming y cocina totalmente equipada con lavavajillas, horno, lavadora, microondas y tostadora. Se proporcionan toallas y ropa de cama.

El apartamento tiene terraza. El establecimiento alberga un jardín.

El Spacious 2 Bed/2 Bath Condo with Gym and Laundry está a 7,7 km de la Sea Turtle Preservation Society Melbourne Beach y a 8,8 km del Museo de Arte y Ciencia de Brevard. El aeropuerto internacional de Melbourne, el más cercano, queda a 4 km.",,28.0623887,-80.6195419,[]
578,"3151 South Babcock Street APT #113, Melbourne, FL 32901, Estados Unidos","El Spacious 2 Bed/2 Bath Condo with Gym and Laundry se encuentra en Melbourne y ofrece alojamiento con aire acondicionado, piscina climatizada, vistas al jardín y patio. El establecimiento cuenta con balcón, aparcamiento privado gratuito y WiFi gratuita.

El apartamento está situado en la planta baja y cuenta con 2 dormitorios, TV de pantalla plana con servicios de streaming y cocina totalmente equipada con lavavajillas, horno, lavadora, microondas y tostadora. Se proporcionan toallas y ropa de cama.

El apartamento tiene terraza. El establecimiento alberga un jardín.

El Spacious 2 Bed/2 Bath Condo with Gym and Laundry está a 7,7 km de la Sea Turtle Preservation Society Melbourne Beach y a 8,8 km del Museo de Arte y Ciencia de Brevard. El aeropuerto internacional de Melbourne, el más cercano, queda a 4 km.","['Gimnasio', 'Parking gratis', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis', 'Piscina al aire libre']",28.0623887,-80.6195419,[]
597,"3151 South Babcock Street APT #93, Melbourne, FL 32901, Estados Unidos","El Modern 1 Bedroom Apartment with Gym and Laundry se encuentra en Melbourne y ofrece jardín, piscina climatizada y vistas al jardín. El alojamiento está a 7,7 km de la Sea Turtle Preservation Society Melbourne Beach y cuenta con aire acondicionado, aparcamiento privado y WiFi gratuita.

El apartamento tiene 1 dormitorio, TV de pantalla plana con servicios de streaming, cocina equipada con lavavajillas y horno, lavadora y baño con bañera. Se proporcionan toallas y ropa de cama.

El apartamento tiene terraza.

El Modern 1 Bedroom Apartment with Gym and Laundry se encuentra a 8,8 km del Museo de Arte y Ciencia de Brevard y a 47 km de la estación de la Guardia Costera de los Estados Unidos Port Canaveral Wharf. El aeropuerto internacional de Melbourne, el más cercano, queda a 4 km.","['Gimnasio', 'Parking gratis', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis', 'Piscina al aire libre']",28.0623887,-80.6195419,
601,"4355 South Babcock Street 103, Melbourne, FL 32901, Estados Unidos","Boasting air-conditioned accommodation with a pool with a view, city view and a patio, Luxurious 2/2 Condo with Pool, Gym and Laundry is set in Melbourne. This property offers access to a balcony, pool at the pool table, free private parking and free WiFi. The apartment has a business centre, as well as a fax machine and photocopier that guests can use.

The spacious apartment has 2 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a terrace with garden views. Guests can take in the ambience of the surroundings from an outdoor dining area. This apartment is non-smoking and soundproof.

You can play table tennis at the apartment. The apartment complex has a picnic area where you can spend a day out in the open.

Sea Turtle Preservation Society Melbourne Beach is 10 km from Luxurious 2/2 Condo with Pool, Gym and Laundry, while Brevard Museum of Art and Science is 11 km from the property. The nearest airport is Melbourne International Airport, 6 km from the accommodation.",,28.04391602,-80.62118525,[]
607,"4325 South Babcock Street 104, Melbourne, FL 32901, Estados Unidos","Luxe 1BR/1BA: Dive, Rest, Explore. Book Now! is a recently renovated apartment in Melbourne, where guests can makes the most of its outdoor swimming pool, fitness centre and garden. This property offers access to a balcony, pool at the pool table, free private parking and free WiFi. The accommodation offers full-day security and a business centre for guests.

The spacious apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a terrace with garden views. Featuring air conditioning, this unit has a dressing room and a fireplace. This apartment is non-smoking and soundproof.

You can play table tennis at the apartment. The apartment complex has a picnic area where you can spend a day out in the open.

Sea Turtle Preservation Society Melbourne Beach is 10 km from Luxe 1BR/1BA: Dive, Rest, Explore. Book Now!, while Brevard Museum of Art and Science is 11 km away. The nearest airport is Melbourne International Airport, 6 km from the accommodation.",,28.04358164,-80.62127188,[]
608,"4325 South Babcock Street 104, Melbourne, FL 32901, Estados Unidos",,"['Gimnasio', 'Parking gratis', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis', 'Piscina al aire libre']",28.04358164,-80.62127188,
628,"4721 Clock Tower Drive, 205, Kissimmee, FL, Kissimmee, 34746, Estados Unidos","El Stylish Condo - 6 Minutes To Disney World ofrece alojamiento con balcón y WiFi gratuita en Kissimmee, a 9,4 km de Gatorland y a 11 km de Disney Springs y del ESPN Wide World of Sports. Este apartamento se encuentra a 13 km de Walt Disney World y a 14 km de SeaWorld's Discovery Cove.

El apartamento cuenta con aire acondicionado, 2 dormitorios, sala de estar, cocina totalmente equipada con nevera y 2 baños con ducha y artículos de aseo gratuitos. Se proporcionan toallas y ropa de cama.

El Disney's Hollywood Studios y el Disney's Boardwalk se encuentran a 11 km del apartamento. El aeropuerto más cercano es el aeropuerto internacional de Orlando, ubicado a 22 km del Stylish Condo - 6 Minutes To Disney World.","['Gimnasio', 'Adaptado personas de movilidad reducida', 'Parking gratis', 'Servicio de lavandería', 'WiFi gratis', 'Piscina interior', 'Ascensor']",28.342958,-81.472313,[]
701,"Kissimmee, 34747, Estados Unidos","El Blue Stylish Charming Villa with Pool near Disney se encuentra en Kissimmee y ofrece alojamiento con piscina privada, WiFi gratuita y aparcamiento privado gratuito. Esta villa ofrece alojamiento con aire acondicionado y patio. La villa cuenta con bañera de hidromasaje y registros de entrada y salida privados.

La villa es amplia y cuenta con 6 dormitorios, TV, cocina totalmente equipada con lavavajillas y horno, lavadora y 5 baños con bañera de hidromasaje. Los huéspedes pueden comer en una zona de comedor al aire libre con vistas a la piscina. El alojamiento cuenta con entrada privada.

La villa cuenta con zona de juegos cubierta.

El Blue Stylish Charming Villa with Pool near Disney se encuentra a 17 km del Disney's Animal Kingdom y a 18 km del parque acuático Disney's Blizzard Beach. El aeropuerto internacional de Orlando, el más cercano, está a 43 km.",,28.3042,-81.6419,"[{'Personal': '9.6'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '9.2'}, {'Relación calidad-precio': '9.2'}, {'Ubicación': '9.2'}]"
707,"Kissimmee, 34747, Estados Unidos","El Blue Stylish Charming Villa with Pool near Disney se encuentra en Kissimmee y ofrece alojamiento con piscina privada, WiFi gratuita y aparcamiento privado gratuito. Esta villa ofrece alojamiento con aire acondicionado y patio. La villa cuenta con bañera de hidromasaje y registros de entrada y salida privados.

La villa es amplia y cuenta con 6 dormitorios, TV, cocina totalmente equipada con lavavajillas y horno, lavadora y 5 baños con bañera de hidromasaje. Los huéspedes pueden comer en una zona de comedor al aire libre con vistas a la piscina. El alojamiento cuenta con entrada privada.

La villa cuenta con zona de juegos cubierta.

El Blue Stylish Charming Villa with Pool near Disney se encuentra a 17 km del Disney's Animal Kingdom y a 18 km del parque acuático Disney's Blizzard Beach. El aeropuerto internacional de Orlando, el más cercano, está a 43 km.","['Parking gratis', 'Barbacoa', 'Mesa de comedor', 'Cafetera', 'WiFi gratis', 'Piscina al aire libre']",28.3042,-81.6419,"[{'Personal': '9.6'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '9.2'}, {'Relación calidad-precio': '9.2'}, {'Ubicación': '9.2'}]"
722,"Kissimmee, 34746, Estados Unidos","El Lake View at Storey Lake by Shine Villas #703 apts se encuentra en Kissimmee y ofrece alojamiento con aire acondicionado y patio. El establecimiento cuenta con balcón, aparcamiento privado gratuito y WiFi gratuita.

Este apartamento tiene 2 dormitorios, cocina con lavavajillas y horno, TV, zona de estar y 2 baños con bañera. Se proporcionan toallas y ropa de cama.

El apartamento cuenta con sala de fitness.

El Lake View at Storey Lake by Shine Villas #703 apts se encuentra a 10 km de Gatorland y a 11 km de Disney Springs. El aeropuerto internacional de Orlando, el más cercano, queda a 22 km.","['Parking gratis', 'Habitaciones sin humo', 'Mesa de comedor', 'WiFi gratis', 'Piscina', 'Cafetera']",28.341,-81.473,
746,"3012 Penelope Loop, Kissimmee, FL 34746, Estados Unidos","El Disney Dream Vacation Home by Disney se encuentra en Kissimmee, a 13 km de Gatorland y de Disney Springs, y ofrece pista de tenis y aire acondicionado. Cuenta con piscina de borde infinito, centro de fitness, vistas a la piscina y conexión Wi-Fi gratuita en todo el establecimiento.

El apartamento cuenta con 6 dormitorios, 6 baños, ropa de cama, toallas, TV de pantalla plana vía satélite, zona de comedor, cocina totalmente equipada y patio con vistas al lago.

El apartamento cuenta con bañera de hidromasaje. El Disney Dream Vacation Home by Disney también cuenta con un equipo de juegos al aire libre.

El ESPN Wide World of Sports y el Disney's Boardwalk se encuentran a 14 km. El aeropuerto más cercano es el aeropuerto internacional de Orlando, ubicado a 33 km del Disney Dream Vacation Home by Disney.",,28.334741,-81.452629,
