,user_id,name,review_count,useful,cool,source_id
401,kLm3B6LeboEZWX_4otpILA,Izzat,1670,794,239,0
409,tipQmXdg181T4NvxrXPjFg,Sabrina,183,1100,669,0
433,SH-GRUQlUZTco0ofRbwVdQ,Carter,197,230,62,0
457,FoO5vOMb3_nKGmMiDUm8lA,picunte,60,35,14,0
461,AsUvXYx9ZVn3IMJmAIwhYw,Tiffany,694,5244,3852,0
472,mZHk_DPbeUTQBZOBOyoqlA,Erin,280,936,247,0
474,K2VZMLykxnctDXWgO23lJg,Tim,358,321,77,0
504,y9WhhW724xLQ4p_lGQCQkA,Timothy,341,1414,790,0
554,2OLohmwFrl8ru4w1mUXtyw,Connie,371,952,398,0
576,2z4CSJ9EH0L-5BmzquYnSg,Nicole,235,567,214,0
585,RmXIjppHNtVveguN10iO1g,Kevin,1356,12467,12392,0
597,LPvaDDpoeVw6DB7Oepd9cg,SuSu,69,85,17,0
630,FlXBpK_YZxLo27jcMdII1w,Mallory,1158,3875,1999,0
660,GmQR50bIII7gDNRYEgfXfA,Tiffany,1770,10932,9541,0
689,UYUWmXsUynm4sTkwk9siZw,Chris,327,1677,1213,0
698,Sg_BvnTHsbc1AABiJjaiPA,Vivian,1398,1688,911,0
718,JiUmz7l4rNz4-YmOj13i9g,Vicky,808,3307,1450,0
730,Nv7jyW-Xag9-1uAXZZHUfQ,Sarah,116,178,57,0
735,E7dNhALfxoE5OcH0ybH0Sw,Mike,474,1325,908,0
736,cMoQqT_j_FD1gO6EEZzOIg,Mitch,1103,5279,4224,0
742,ZIOCmdFaMIF56FR-nWr_2A,Randy,3315,48205,38093,0
758,pxBmvgpiDMN161PwHDtsLw,Jane,197,457,270,0
778,IyIsFkVY48JWa01inv-7zA,Rob,2904,8482,6169,0
781,syvwUKQJ4OYfmL_ixVLMeQ,Tina,4386,19720,12858,0
783,OF1Dwu3fWeyNzX2ehlyM3A,Cynthia,357,395,124,0
798,tlY0QMQDyfjQAEwHnzvFnw,Ken,1819,3603,2114,0
807,BrFSDMl2V85mW9UtbAeUAg,Edward,55,164,80,0
821,uQEqsxqT3U6Ll1dsnqst-w,Ann,677,850,314,0
843,Xj4NPAq2efs4mzS4kFHGyQ,Brianne,522,1341,1235,0
851,2nE0zU6y_F7gkwHi3yL6cQ,Erin,596,1628,1258,0
852,nBdv5Br4G8pDWXXqSXhUug,Holly,230,503,244,0
901,g5qD10shooDJEPjt6miMrw,Lyn,1141,3232,2177,0
918,mpDMGJi3TtxZIWWEsbZfyQ,Vivian,171,291,111,0
927,_BcWyKQL16ndpBdggh2kNA,Karen,4274,16950,9759,0
946,-NbeVN5tnwdyYAvdNkKMjw,Dominic,1101,6704,4179,0
975,j4cmflYbwAktOxZ_iiJCOQ,Danielle,236,1276,1040,0
976,HZRfI9weev2Vr_w0jPF8-Q,Martha,208,849,438,0
1015,e8ctA42_X95wLlrf09YZQg,Amy,710,2070,917,0
1018,UJcXryv3GnXik-dauejBdQ,John,859,2442,1550,0
1023,DeDvAzbCIPaXQlor2LctVA,Amy,308,635,258,0
1027,kKTcYPz47sCDH1_ylnE4ZQ,Pegah,2595,6142,3725,0
1030,upQwDazroow3rjNMW4PZww,texas,193,313,134,0
1035,NOKGADhE0dtzEbpbIhGowA,Lucy,1004,2218,674,0
1036,UY-PIbm4jcnCHcFhjpaqTQ,Angela,663,1052,491,0
1051,Wxd-EKF2Z4RHZUmwQ6Eeew,A,1405,4294,2154,0
1072,gReqm4q-A-vfsAgicBsbtA,Wesley,923,1909,1219,0
1100,h-NFrVwhhCvxdle_3pBwiQ,Donna,67,152,83,0
1144,xxL-DwwdT5VGvss9mCzOGg,Adam,1888,9232,6339,0
1159,HwL0cUMC7-qghiAKBzMpXg,Amy,332,637,241,0
1165,cJCiN7dtlGLW2-zApamFQA,Tricia,231,377,116,0
1172,HUmClClluKP5Ur6X7e306Q,John,1206,2078,1267,0
1174,HuoP7ejN-LSwkO1UIgmtaw,Andy,342,838,424,0
1187,AP7o6yRkjkqOveZxHg9seA,Jamie,30,32,8,0
1191,rTB2UhWGpsLMQo5kCzX39A,Brian,753,872,351,0
1199,IPxJLWpKptzpTWlfjFiuHA,Gordon,187,525,204,0
1206,Xw7ZjaGfr0WNVt6s_5KZfA,Marielle,2272,15105,9532,0
1225,lufa4bHQd3XLYQE1zXis0g,Lisa,2007,6951,4804,0
1263,wGXNiLljJudWjQ8Uwrb3yA,Ben,20,35,6,0
1287,H-_0YKUQfxDRFztGiCrhBQ,Apearl,697,1634,698,0
1294,GJHgbuXmy-Q5eSzkDH5V3w,Fallan,11,11,4,0
1311,cMEtAiW60I5wE_vLfTxoJQ,Jennifer,4190,6495,4672,0
1341,BPZEAoU0sB6CFGusTErUuA,Vince,1995,11713,9126,0
1366,tGasH5DTBL0-8JnnIYx3eg,Christina,441,939,474,0
1373,0S_i96G5FR7oYO3QeH_01Q,Joy,1416,5328,2078,0
1392,d67zTET_2IuVoWcUU0aWaQ,Janet,2241,8618,5010,0
1415,4kKngcDGjuzo18pxx5jHog,Amanda,409,1082,476,0
1417,0Igx-a1wAstiBDerGxXk2A,Jen,2733,13793,8701,0
1434,xvaeF_Daee7vhOSk5G9g_w,Safrona,29,69,35,0
1457,HS8fh_WvXvl-8UrbaIM-fA,Valerie,290,113,41,0
1465,5Yd0OweWo7jDVI-G3WwGwA,rosie,162,512,300,0
1470,OZTZgCcxO7fcFkZ3LYDroA,Oski,546,548,191,0
1480,yZyUc9ChBerAAeUY8ygSfw,Eric,424,1440,577,0
1503,6WG2IGTVr-xKn0pYQZJGjw,Felicia,323,2967,2156,0
1505,DMwp6ZDmshHRPeQVrYGoqQ,Amy,406,520,169,0
1530,wfAY5pTWM48wNQNh96jymw,Alison,111,264,93,0
1545,3MvDSyrKUxoAARc7hUWHGA,Harden,36,171,47,0
1563,huayr-WjhExgJPIZcRhZIQ,Michelle,428,2103,1809,0
1572,UlWDGR0QrBbdFsVY6ugocw,Aimee,885,8423,6080,0
1581,6Yat8NbiWbJkQPCEN2YLMA,Julia,28,20,1,0
1583,LOi1qbpl2hTP0cwSDDuyBQ,Shirley,1630,2597,1276,0
1595,EP8o8JnQSI0WEkeodwA8lA,Bobby,613,3831,1720,0
1606,VRvD7-JHdWdTQnh1lRCw_A,Jenna,618,1500,832,0
1608,EV7Zj6Jyf2tcuFB2Fv1shg,James,499,855,607,0
1615,005GchcM1HWBH3SFKrIxBA,Naomi,420,1041,453,0
1616,bEC8C904SPszVpMPEUKFNA,Sean,409,310,79,0
1622,2--3--v8yHU3a3FljCcBRg,William,189,355,299,0
1623,mqf7xO1AeQxkAOhWJz5Mlg,Russ,508,1210,410,0
1648,ubVIhBzZYTSGBR1zn0cKww,Robyn,487,1153,712,0
1667,uqGUoJrccxrxT42FhMQBhg,todd,180,97,21,0
1687,-O_FGGkZEeg509iOZADxDw,Su,259,252,120,0
1690,XRodxenm9sHoYbD15Em4nQ,Megan,429,774,391,0
1692,kuhYz6erOHGKazHex8_KCQ,Ruth,138,386,187,0
1703,ywf1G9IvDLg_KytwLimFCw,Scott,389,959,351,0
1731,FVk12H4Cz4DkRzl8N5-PGQ,Tiffany,967,1681,1079,0
1745,bSRQp1PBDzCKyvepEQSYxQ,Cay,95,147,32,0
1759,IhmBr-yHC8xLjdnoq7O37w,Amuse,2106,3338,1141,0
1781,isQxsxlCjj6P8GQ_uuFwew,Amanda,1043,2033,1184,0
1787,eP-p6lbK7I4iipc_2OIMMg,Alison,243,666,390,0
1816,snfg5hrEoUVYwkD4IcKeuw,Christina,75,202,53,0
1825,OlhNXWuNmmQiNDyWLtdReg,Chihee,141,134,66,0
1847,YBM0il-DPBz2xVwTZsPrUw,Clemente,68,94,43,0
1870,KXYRjdlgg-Gw7mwF22ZAJg,Dennis,450,430,231,0
1907,dexn2UVHzkPITS1SYBjH_A,Bert,202,1061,791,0
1928,Xxvz5g67eaCr3emnkY5M6w,Jen,2403,4380,1777,0
1935,aGI_wfhcJ86DJ-67Lkty8g,Di,435,1053,474,0
1936,rTJ3EecGoQNbfFj7mqjDmw,Elizabeth,529,796,296,0
1949,vzPTjVZG0-5MO7jGGeNwTw,Ferdinand,181,473,231,0
1969,84HvpQDxcHWmbMDfs8IEYw,Chrissy,534,2121,1416,0
2031,yuLqTuKUEgWB5GTKKmS56A,Bodie,366,440,218,0
2040,Lu8y2ayxVlAzuJEVfVcH4w,Rebekah,2482,19362,17244,0
2048,OoND3zlU8KhVuPSE7N6gmw,Michelle,812,1797,791,0
2079,G6uiBIcMc21mxtIsR6K_3w,Irene,486,2296,1106,0
2108,w0Eb3PnZFiyQdWqXYKnx3A,Schuyler,510,1499,972,0
2120,RlI8vfhbYeUahO875DBFIw,Natalie,739,2010,1240,0
2175,hlBjT5WITYsbJFs9nRsY3Q,Jim,271,1278,719,0
2181,7v1QP-z1tgrxOapQLYlm8A,Aaron,53,125,76,0
2184,_OOCtlUhIp94w3wZf8-6cA,Joseph,54,148,73,0
2190,bs_FiiqQNyUg6Fh_WqyLyQ,Brandon,1523,2179,1314,0
2197,3PB1TY8e8NnnHBHTb96p7Q,Casey,227,292,177,0
2269,qRE57EZymOvKF8Ugrn2GZA,John,150,183,40,0
2272,uCAtWdcGvNDkJUxqBk8OBA,Fay,189,230,54,0
2274,Tvk5HuAzmYDJPN9d6fBiiA,Vanilla,1049,1837,911,0
2284,SGY0ydXxLbkbY-w9E2g8Tg,Brad,419,890,491,0
2296,3DxHjoFkMlmgd8qhZhgWWw,Tom,95,50,11,0
2335,8bKjmdE9h9Jc8hzCO7EJsQ,Carolyn,469,1015,425,0
2339,YAG90mceVFQLdvl4wndvQg,Margaret,1180,1377,592,0
2349,ierqPx-n-6fr6gHF2gNUqQ,Christian,138,126,32,0
2351,1O638BDK_fWuxgTVJwff-A,Rob,3008,9549,5847,0
2354,hlPOotTeYCyd5TQAKpv5LQ,Meghan,1133,2250,852,0
2362,Oi1qbcz2m2SnwUeztGYcnQ,Steven,1371,29572,23028,0
2367,dA0aaK-RQnOkL1AMd9Fuzg,Patricia,49,43,7,0
2383,FPOLMElOP7XpqlwgoT9KLg,Jeff,184,178,60,0
2394,uJxm2nlKS0c5wUvSqR8G6A,Sal,79,49,11,0
2408,-pVe4vgAv2KD6UwLvYK4iw,El,62,95,56,0
2421,hz8qETAGEjbKkj2GoGfZMQ,Jose,3,5,1,0
2449,JD7L3z31GmOuVsRRPyqdFQ,Brian,1900,10820,7417,0
2455,IucvvxdQXXhjQ4z6Or6Nrw,Sunil,6459,8233,5470,0
2459,9WFy3YGJUy5cCRMIrwyu6g,Jennifer,307,617,257,0
2460,ig5IJbIuq-gopoPIEUlm1w,Kat,720,2468,1493,0
2469,toQe9adQWV7iC7KM_eugsA,Sarah,210,518,232,0
2471,1pkTtqkIn0w9BvF9z9loQg,Claud,42,49,13,0
2487,oSeE_p_gYxI82APPWJhJjg,Jim,324,999,669,0
2491,3b2q_BzCDB62LsnUznC49g,Jonathan,464,1234,892,0
2501,HjlmwNPgoeXhSMh0Zl-zcw,Jim,308,1577,529,0
2502,KGsXnYHvYddGaL_jyl0DMQ,Deb,383,2670,2100,0
2519,NvUeb5G_mSSxgKhEE_Hueg,Jocy,1503,10955,9782,0
2551,krz6KPtOMU4Z0cMCGaacCA,Ann,1464,6749,4625,0
2553,gVUtrEhYXrmnVWDyW2VBqg,William,489,528,174,0
2567,qI3uzegMdq3q3WxAajECGw,Tara,961,11040,8919,0
2586,EO1Cz15wYnHQ0aGc9T6tzw,Franco,2340,10419,6332,0
2591,cPcStFGBlk-6lWWsttIfVQ,Ee Vonn,2280,8521,5431,0
2594,u-u8vyXgSSQSA_K6rvrZjA,Alyssa,395,1514,799,0
2619,h3KpLypa9SZEw2ydFNC19Q,Alvin,783,2351,1184,0
2624,08mOpJRCpZe3D8UHszP4FA,Ann,3207,11589,6245,0
2626,BIBdLxXLDHKpzvcC-xy44w,Jessica,44,54,8,0
2627,T9AtZPYC4W81rylyvOOmQQ,David,345,989,409,0
2631,PKiUSfVMJam-nGy8SiD-Aw,molly,20,9,2,0
2679,TVN3qoXU0-sateboutdCZg,Angela,695,1588,686,0
2684,iJdknUsOPUDA2BTfTVE1Hg,Jennifer,577,1033,485,0
2693,Frpav5mTr1bZhd7hkiwWxA,Vanessa,696,2094,1497,0
2695,BvnchfgvNbzeXvz-7sHVpQ,Ray,278,687,225,0
2701,X-8WUdJ1hYidYXQygzTEBw,Meghan,533,1239,465,0
2703,qbtznqJqPl4-7hXkJBE8jQ,Jeannie,644,1318,614,0
2786,SIpBqzGhRM7T5cDFiuIryg,Jason,673,19093,17909,0
2790,1pzP58PeWictHQzctMU0nQ,Misty,1393,7677,6081,0
2801,fIhAh0HzHRqTb05Y1xSW8g,Julia,540,1329,907,0
2823,pzV7A5XSTK6zSPAxeAmaLA,Leanne,414,1936,814,0
2831,W7ze3kEq4Br2JIOPP8okNA,Franklin,786,1071,357,0
2850,2jHXlagPsLtmRi4Nsr49LA,Karen,430,2456,1802,0
2863,Y1BEntJLQAEaXtfHH2OsBg,May,278,305,90,0
2908,PLOYtrCMUFPHQe2IbYAd5g,Joanna,2956,13336,8801,0
2919,LhnoqfSZobV3bch7of-Kaw,Ellen,892,3045,2136,0
2951,QY_CL2YeU4On8HsWgf07NQ,Cletis,82,160,95,0
2972,Yej5B4nd8PqpHMQcmCTDrg,Stevey,553,1852,1468,0
3006,UxvPvwa4lkS6HLryKV1Oyg,Jeannie,432,931,548,0
3008,gBpxjo01cpY_5stvzru46Q,Andrea,621,1280,603,0
3016,v_riC5aPW8i5teI_-VN8lA,Kim,54,126,78,0
3021,tUCg6vQppzUJJKqTtKfWTw,J J,283,262,68,0
3026,oYp-SseW6wygUiSQrBFzyQ,Kelly,49,114,62,0
3041,2-gnDYB2aM2xtmYk5R5zoQ,Lori,302,547,146,0
3064,XAh8KAJtPqQ_o-Ndb9V_tg,Ericka,547,1844,707,0
3075,ign-wXfFvXhgqYVTbxV3aA,Mehran,738,1957,884,0
3078,saEUjebfkgXQKzNuD_0Pfg,Emily,112,585,424,0
3094,T3CQIkF1S8k5LLJszBRR6Q,Carly,87,194,55,0
3103,-8EnCioUmDygAbsYZmTeRQ,Mimi,1568,17424,15081,0
3125,6O0MxTs3Pzzj5cXSHgYmrw,Nicole,311,550,326,0
3147,v3QDeKjl5-PgTG2eOa_qNA,Christmas,179,899,642,0
3149,dYCmh8rJl_ZkC_mt70ZDhQ,Johnny,558,2497,1734,0
3185,AF2wygvqImI9gbFijr13rw,Jessica,231,1170,671,0
3189,dgGUKdOh2a01OwLw1qgfDw,Alex,875,2195,673,0
3191,bslOvFExlhVCaIIxh1PCTQ,liza,153,282,197,0
3208,JB_Qflj9Q2I_c-22hcMwKA,Rowena,1205,1972,897,0
3214,VEj1OuO6QrQMXFhuMZJ8cQ,Ettya,705,2329,1859,0
3215,TR7ezcRznfr1Jif7euZZJg,Marlyn,794,4216,2374,0
3216,lgUKLRsqvhu4DbM9syzq_Q,Rebecca,388,1309,818,0
3226,zT14hfSFNwxn6Uit9ymf2w,Aloha,163,153,35,0
3231,iT1AA74QFn_a0Xq9-ggSGA,John L.,2017,12584,6912,0
3286,nnwBdqGHIAJQ5QX9lHOtrQ,Hank,3327,9625,5335,0
3289,lqHAb35BIqVtPAWz2QEb4Q,Aaron,201,163,30,0
3293,zoahf1GKypVKEe1GxH0OUw,Raymond,206,283,94,0
3343,TMLVzNYs-zwwREudyvI08A,Matthew,611,1305,770,0
3370,WSL2jqwwgkqkKDbFuuXeFQ,Su,403,677,365,0
3376,1mcspXwi0cnbu0_4VJf2Uw,Nicole,107,237,78,0
3405,I6YARR1VloAua-buFULo1Q,Tanya,963,1305,507,0
3406,Rqfbh-m2qqe8SPgI334i1g,Jeff,410,559,360,0
3424,SIZOfo7jTjCXnL8ZtpM2aw,Lucy,1571,14166,12270,0
3474,Sn6DV1-Xk7du4dGqnXuEdg,Kelly,258,697,196,0
3483,sJFka9N-fGoLASJJSwu3Tw,Cherie,303,340,179,0
3498,0dIvVs3PY64bE3PZF-8V8A,Lorraine,2045,4741,2787,0
3504,09BVSK2BeCopebFI6plOIQ,Saba,703,2562,1902,0
3536,aC-OnXEbHZBnfWMyYj_WRQ,heather,169,289,100,0
3537,BmThnFPDalpbC1x98aXKaw,Heather L,233,1386,780,0
3588,ltdZ7tFHnmSS7Cnw8M4y5w,Amy,475,405,172,0
3611,kKPbWlBjpSL3Qzvtn_AaPw,Sam 'Wags',446,444,196,0
3627,wzyGNvArcpUjZauRWFrKHA,Bill,2512,12800,9135,0
3672,le3q1LEoDlI5wSsWUvAE7w,SeaElle,178,190,35,0
3675,B5RcWUztezeNkW-_ujqViQ,Janene,1434,4403,1840,0
3719,KczWxaaTAmzwiX_IiL-hjQ,Laura,76,219,99,0
3792,y8aWXOimQ9ZgUgZ6q--nCQ,Carrie,472,5077,4422,0
3797,eFBojqvl3lzJQIVsenmNDw,Beth,29,31,11,0
3798,yXO72Pgg07hbMAELm4D6tw,Eliza,162,237,92,0
3802,gfQqQYI5_hCAGEHlHXIz2Q,Cherie,2113,5669,3999,0
3843,SGPscai169s5QLriYf0_jQ,Allie,109,420,194,0
3849,igaoaFNkX7ieMuyUBg0u5w,Leang,2182,2763,1399,0
3850,RMrWegRjr3gn_g7fOLxHRA,Caitlin,227,430,263,0
3856,CV8aQ9nTu4_1yKtd2D38hA,Jake,225,633,380,0
3872,vGHb-ijnZ3sYlpW3i6rn5w,K. Kevin,13,7,3,0
3894,9sHfCA7_y5DkQM2I3ykHzw,Rob,265,355,146,0
3902,5XV9WW2XEe1ygix8a4NLTQ,Matt,51,152,79,0
3917,PhmMWBBQda24K9z6b9R-sA,Jeff,1322,4872,3650,0
3920,4lM4kr2y23ywPMrrLfB43A,DeAdra,92,137,29,0
3929,wWa9X07Cq8EVaqJrA5QKyA,Kevin,605,1418,386,0
3934,x-LrGPXN7WFX15Qk9B6_YQ,Lindsay,220,535,219,0
3942,xyFtRXaTjhStZB3Zb9uFvA,Leo,416,559,230,0
3963,3Ymp49H-fWveJDqCuQzSMg,Valerie,345,632,473,0
3992,NNgQ8fV5ARQgHw-Ob7l50A,Brad,1114,4093,2998,0
4020,kW2dk1CWihmh3g7k9N2G8A,Shradha,2895,4774,2339,0
4027,luLjzKRHp77YnlLlD6rULQ,Philip,208,235,67,0
4090,zD1T8JFx3O1Rf9aNu49rpQ,Poker,397,1175,309,0
4158,2BZSt66JP1QzbxFc51_f2w,Rahel,194,573,300,0
4197,D-rKFBb1s4_4vpDA9Wjiog,Michael,1433,593,306,0
4255,ApJ9YgYU-AhS4a-F5oTGHw,Nicole,526,1471,796,0
4276,KfxFfpYT_0RD7Fa7RVI8Wg,Cher,182,867,294,0
4290,puqwzHvxKqt7-hqJIISYEw,Lacey,149,102,40,0
4294,IwHLuykqqmGVNHJ_UCwXWg,Marqus,4112,30883,20115,0
4328,2LfozZiejXfQHcS52-Fv5w,Nicey,361,817,436,0
4344,bu0yuueBapV96Y_rxCj39g,Eunice,451,451,132,0
4350,Mf2NAhMTiYk0DC0fZjhNMw,Sally,341,422,183,0
4351,LyrAjv8V6HWkceuTB4Xtkw,Duke,1308,3415,2344,0
4356,WlgB9SAzYAyHEAlawc27xg,Anjali,188,649,487,0
4386,0mYNAVDIzW4fzgAQ5opGWg,Mary,218,387,209,0
4395,8wQIoFapkegkC5fcVYg_Iw,Jamie,1148,4395,2136,0
4409,amRKO3MKk7r-kK41IHkG6A,Katie,16,72,46,0
4472,67HwuY1mtttvvnqn9tHU0Q,Jamie,638,655,305,0
4484,1T6HR7ezF-pMod0LWNL8tg,Kimmy,71,268,178,0
4514,1sMZdqmCa_X2Lf_x6XOCFw,Patrick,858,6002,4647,0
4521,xOr3cP1xO2qC4lx2E9jnBg,Robert,281,918,479,0
4533,DwgoefLg51quf7saVqcTHg,Punam,322,339,106,0
4541,nLOF2qXMJfTbbcVtDo8oZA,Jenna,293,576,146,0
4545,h5e3Lt-rkc4l0rL_J31XHQ,E,629,386,118,0
4583,v9ZgIl22Q813cCfv1e9RLw,Robert,511,2126,1275,0
4585,DICLJDdq0HpvOVYR5mB4gA,Eric,3231,5085,2723,0
4595,BsfZ3P6huGAVXG1TdZpQ6A,Richard,941,2137,1128,0
4677,1bjo-xG3tKF5rQjRx5zW4Q,Von,367,1176,549,0
4688,l0-VQ8nA_oijpKlRB7dkow,Robert,1498,3559,2323,0
4718,4Xi2i_i1RzKkoJ41_1JHig,Mariangela,614,783,487,0
4720,L0hIDvoJUMNHSK_vEWGiFA,Richard,1162,1850,1012,0
4723,hWDybu_KvYLSdEFzGrniTw,Bruce,16567,173089,144849,0
4744,2T1zzzZnLajKsgB5AaSq4w,Jill,676,707,174,0
4773,bwq4VuSXz4Xx1P9CPQIwCg,Seth,113,389,117,0
4784,PLe2TWa02y1C7gnHErMDKA,Ess,97,503,304,0
4787,6wORV90A1aliLSwHMKL4hQ,Neal,911,2204,1608,0
4814,LEqV5RPgYgkOTnsiR1ynkQ,Frances,244,260,85,0
4831,6oJzbP6dqPYoaSuCNKaITw,Mike,1409,1289,459,0
4832,LV0tWvAuDUkjNhfrhj5JFQ,Mykie,1136,2699,1263,0
4833,lmL1P6wJi0Z8Jg8DTPqawQ,Jeff,2148,7724,3915,0
4847,ZCVEZmTB_StK-UXA3WPVlQ,Zanna,523,2241,1262,0
4898,bBfyLClSrcHGI6awaIc4Pw,Cat,43,37,10,0
4922,21QDiOO3x_Fv5b0LK4P0Dg,Caesar,947,1460,927,0
4923,ggtwHX4GVBY1J7TAVlqvuw,Janet,136,219,128,0
4933,BLrrlNdaU3fOXpcbcbE4Aw,Andrew,523,979,386,0
4972,60RKNAZwY5EUooJf624aKw,Sarah,929,3557,2102,0
4974,_8Q_TBpMw8BPGRJKxAal8Q,Tom,47,130,89,0
4980,nLMu3AN9ruBrS3WsGHY9BQ,Cyndee,17,62,6,0
4981,PFrkq7xTQYSL1LKElc58Gw,Rpm,440,1118,807,0
4983,jfpqJpSwQnL-6eblk7hIhQ,John,466,549,284,0
4991,zv0MVTY5PTYb1O7KqVTIuw,Dean,526,911,342,0
5052,UXbCcmkYGl3DH_Py5UOtbQ,Toni,2704,39527,36305,0
5056,u8EgqDkF24x26DCQA6KYQA,Terry,378,938,612,0
5093,Am_G2m0pwVrEg9AoUp5tow,Gia,630,1537,844,0
5097,A2JGzkvNjckSmps_4FbKWw,Holly,575,932,359,0
5103,qumjKpb34tsSJ26Y2aaTPg,Cheryl,489,1274,556,0
5104,AQCiU4Rh7YLcBMq-SBeKjw,Chris,116,189,51,0
5106,sTILRBBisAT4clUKaZTK0Q,Jeffery,371,584,188,0
5169,jveIBHpWOfZFv24luiDjPA,David,1457,1768,969,0
5219,NsKJ7A1hSZ1XUdHui6bDSg,Steffanie,787,1232,517,0
5231,Bezh6tDmCrL0-SnsV6CneA,Irene,1279,1669,718,0
5233,I8N37VokHEmZhYxrT5SfYg,Todd,43,122,19,0
5260,Oq1_D-SsKD-g1BaKvOOO0Q,Inga,197,819,421,0
5289,FHnkj6VduG1PgTTxJJVQBA,MICHAEL,20,33,4,0
5303,0C65lVj_ujVYDs7b2yYBAA,David,1076,10693,9135,0
5309,kZFPKu-N0vTcy0Oc6rmG7Q,Sharon,36,37,11,0
5345,H5d_nFqzwrREE-YduK2ABg,Julie,1221,6741,3187,0
5356,-l1bn8D8iZ0n9Q0PgIDGBA,Sal,443,428,135,0
5365,XYSDrIef7g4Gmp3lNFVO6A,Neal,4967,15821,10153,0
5366,Qc6UTFaDLIjvTKIOh2E9zw,Angie,149,665,236,0
5380,4aC9eBCo3TAsP68H5CoywQ,Tiffany,271,553,292,0
5388,EBDWVh0sE3HgiqgMuXBsuQ,Steve,184,320,85,0
5395,YAkNDXeHUlAJVS_lEelmZg,Stephanie,403,559,189,0
5408,5P0zuGAjmgwLYOFUFZZG8A,Maggie,160,327,121,0
5433,kJgvtgPwhH-JDs0IAoGhyw,Kailyn,311,284,77,0
5442,bQduRxvheoA9xp4qMefdqQ,Jessica,65,178,97,0
5451,X5EAMkKCHTpmso9ILIFRUg,eliza,412,1579,974,0
5461,Ytjon2aVUm09CMdfGJxZYg,Rachel,642,2275,1300,0
5463,RRsbPGYyKJ3zqMMkzcHZaQ,Lenny,493,831,276,0
5470,5PtkFEymTrtxdZ9Wys5s8g,Jennifer,834,2685,1333,0
5478,L27OShvycGmVOkAxD1h86A,Nickie,1189,5137,3754,0
5519,mwRBFkkoJwJ6EyPSXL8LtQ,Jen,232,547,221,0
5534,FXH0V3aHyy1-EIzycMHqDg,Scott,253,354,103,0
5595,riWDgbauId8TK7YFVgMNJw,Rene,810,2962,1358,0
5611,of-Kuw-FAB59_b5YlUtGSQ,Arica,256,228,58,0
5620,4sGBaR8p-PguxVz6XhBbwg,C,67,81,34,0
5623,RMCBbVlPNX898XSRDy-bqQ,Kevin,129,355,115,0
5640,AIjA_jJQyAhoxtYd335Ekg,Jes,692,1084,479,0
5652,M0AnYyp5EBMryhTNHR8oqQ,Sara,492,2085,1253,0
5724,o--zHBo8ihFUeqBhbx7Qag,Angelo,1495,4912,3336,0
5725,ck_-Ms-O5kKYqcEVqufBLw,Anne,325,556,243,0
5752,1TFraFC6i-tDhXQ3del0-g,qirk,1122,1112,546,0
5754,L-YwqsxAdOn4X0Rs_xg4pw,B,149,170,39,0
