,nationality,acommodation,stay,company,review_title,good_review,bad_review,url,hotel_id,date,complete_date
11,Estados Unidos,Den Room with King Bed,4 noches,En pareja,Excepcional,"Very clean, great breakfast, good price and location, great staff !",,,11042.0,julio de 2023,Comentó en: 22 de agosto de 2023
12,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Location was central to some good places in Irvine. Breakfast was gooood!!! Exceptional,Location was central to some good places in Irvine. Breakfast was gooood!!!,,,11042.0,agosto de 2023,Comentó en: 21 de agosto de 2023
13,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",2 noches,En familia,Fantástico,The staff was great.i like the set of home you feel in your room,,,11042.0,agosto de 2023,Comentó en: 20 de agosto de 2023
14,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,10 noches,En familia,Muy bien,The location & breakfast were so good!,Not so much!,,11042.0,agosto de 2023,Comentó en: 17 de agosto de 2023
15,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Excepcional,Staff. Room. Location.,,,11042.0,agosto de 2023,Comentó en: 16 de agosto de 2023
16,Estados Unidos,Den Room with King Bed,2 noches,En pareja,Overall everything was very nice and clean. Staff was great. I’d definitely stay here again. I do wish the breakfast had,Property was very nice with cozy rooms.,The breakfast is a plus but could be better/ more options. Wish it had a hot tub.,,11042.0,agosto de 2023,Comentó en: 15 de agosto de 2023
17,Estados Unidos,Den Room with King Bed,2 noches,Persona que viaja sola,Fantástico,"The breakfast at the hotel is great! They don't provide a variety of food but are balanced, nutritional, and most importantly fresh. Appreciate their service.",it would be better If they could have provide a pair of spare slippers.,,11042.0,julio de 2023,Comentó en: 31 de julio de 2023
18,Emiratos Árabes Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Waiting for the refund of the money deposit done during the check-in with the credit card.,Overall cleanliness and staff are very good.,Breakfast could have been better.,,11042.0,junio de 2023,Comentó en: 25 de julio de 2023
19,Qatar,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En grupo,Excepcional,Very good,,,11042.0,junio de 2023,Comentó en: 23 de julio de 2023
20,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,3 noches,En familia,Excepcional,The room is clean and the A/C is quite and new. Breakfast is good.,The water in the swimming pool is a little bit cold.,,11042.0,julio de 2023,Comentó en: 8 de julio de 2023
21,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Excepcional,"Super clean, comfortable, great breakfast",,,11042.0,junio de 2023,Comentó en: 26 de junio de 2023
22,Omán,Suite Estudio con cocina y sofá cama - Cama extragrande,19 noches,En familia,The perfect stay,Best hotel for value in Orange County,Nothing,,11042.0,junio de 2023,Comentó en: 25 de junio de 2023
23,Qatar,Suite Estudio con cocina y sofá cama - Cama extragrande,5 noches,En grupo,Excellent stay,Very good,,,11042.0,junio de 2023,Comentó en: 25 de junio de 2023
24,Estados Unidos,Den Room with King Bed,3 noches,Persona que viaja sola,perfection,ambience and hospitality,none,,11042.0,junio de 2023,Comentó en: 18 de junio de 2023
25,Estados Unidos,Den Room with King Bed,1 noche,En pareja,Excepcional,Everything was perfect. Nice n clean comfortable rooms. Highly recommended. Breakfast was very nice,Everything was perfect. That tells the whole story,,11042.0,junio de 2023,Comentó en: 15 de junio de 2023
26,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En familia,Muy bien,there is no jacuzzi. such a nice place with no jacuzzi,,,11042.0,mayo de 2023,Comentó en: 14 de junio de 2023
27,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,5 noches,En familia,comfortable and the choice to cook my own meals was nice,"location, and breakfast",it was too exspensive,,11042.0,junio de 2023,Comentó en: 12 de junio de 2023
28,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,5 noches,En pareja,excellent,staff and very clean.,20 dollars per day for parking!,,11042.0,junio de 2023,Comentó en: 6 de junio de 2023
29,Estados Unidos,Den Room with King Bed,4 noches,En pareja,Very good stay overall - would stay here again!,"The restaurant had limited evening hours only, but the food was very good! Breakfast was a free buffet and absolutely amazing. Lots of choices, very worth the trip to the breakfast bar.","Overall, there was very little not to like!",,11042.0,mayo de 2023,Comentó en: 22 de mayo de 2023
30,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",2 noches,En familia,wonderful hotel,"room, breakfast, bed basically everything.",nothing,,11042.0,abril de 2023,Comentó en: 7 de mayo de 2023
31,Nigeria,Den Room with King Bed,5 noches,En pareja,"I had a great experience, I will come back","Room was very clean and fully sound proofed. Breakfast was awesome with very nice and modest spread, new contents every other day. Breakfast was also served in clean and hygienic environment. In all breakfast was nice and tasty .","I never got to use the coffee maker in my room, changed it twice and still couldn't boil water for coffee. The window area can be cleaner.",,11042.0,mayo de 2023,Comentó en: 3 de mayo de 2023
32,Estados Unidos,Den Room with King Bed,3 noches,En familia,Excepcional,"Great location, service and premium hotel.",,,11042.0,abril de 2023,Comentó en: 30 de abril de 2023
33,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,3 noches,En pareja,We came to watch the volleyball tournament and chose the facility based on location (near UCI) and were so pleasantly su,loved the layout of the room; more like a studio with everything you could need in the kitchen. Staff were very personable and efficient; check in / out was a breeze. Liked the environmentally friendly bathroom products and very much appreciated that there was daily housekeeping service. Excellent breakfast too!!,,,11042.0,abril de 2023,Comentó en: 27 de abril de 2023
34,Alemania,Den Room with King Bed,2 noches,Persona que viaja sola,Fantástico,The breakfast was good!,The parking was a bit expensive.,,11042.0,marzo de 2023,Comentó en: 5 de abril de 2023
35,Estados Unidos,Den Room with King Bed,2 noches,Persona que viaja sola,"Pretty good, met my needs perfectly","Room was great, food delicious, proximity to everything.",Too many Taxes and hidden charges that were not clear upfront can be decieving,,11042.0,marzo de 2023,Comentó en: 27 de marzo de 2023
36,Finlandia,Suite Estudio con cocina y sofá cama - Cama extragrande,6 noches,Persona que viaja sola,Fantástico,"The place met my expectations, nice stay, good clean hotel. Have stayed there earlier, and will most likely stay there also in the future.",-,,11042.0,febrero de 2023,Comentó en: 9 de marzo de 2023
37,Estados Unidos,Den Room with King Bed,2 noches,Persona que viaja sola,Satisfying and relaxing stay.,Clean. Excellent staff. Wonderful room.,Wish the offered room service/restaurant all day.,,11042.0,febrero de 2023,Comentó en: 18 de febrero de 2023
38,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,2 noches,En pareja,Will book again when in your neighborhood,"Convenient to airport, had everything we need. Comfortable lobby. Overall stay most enjoyable.",,,11042.0,enero de 2023,Comentó en: 10 de febrero de 2023
39,Arabia Saudí,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",2 noches,En familia,it felt like home,cleaness,the matress is not comfortable,,11042.0,enero de 2023,Comentó en: 4 de enero de 2023
40,Estados Unidos,Den Room with King Bed,1 noche,Persona que viaja sola,I was impressed for the money. everything was clean and comfortable. I was very relaxed and the complementary breakfast,comfort and cleanliness,housekeeping was talking very loud down the hall with each other early AM.,,11042.0,diciembre de 2022,Comentó en: 22 de diciembre de 2022
41,Estados Unidos,Den Room with King Bed,4 noches,En pareja,Good value and location. nice stay overall.,"good location, clean and modern, parking onsite",breakfast could be better,,11042.0,noviembre de 2022,Comentó en: 15 de noviembre de 2022
42,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1 noche,En pareja,Great place to stay!,"nicely set up suite with kitchenette, clean, great location near John Wayne Airport. Very good breakfast.",,,11042.0,octubre de 2022,Comentó en: 30 de octubre de 2022
43,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En familia,Excepcional,The housekeeping was great. It was so neat afterwards and smelled nice.,The restaurant/bar wasn't always available when it said it would be. We were going for a drink before we went out but it took too long for someone to come out to help. There were also others waiting as well.,,11042.0,septiembre de 2022,Comentó en: 16 de octubre de 2022
44,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,you will not disappointed with this hotel,Me and my family so impressed with this hotel everything clean in good area and good breakfast so convenient will get back again ❤️,none,,11042.0,septiembre de 2022,Comentó en: 28 de septiembre de 2022
45,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,comfort and convenience,cleanliness,Friendly staff,,11042.0,septiembre de 2022,Comentó en: 25 de septiembre de 2022
46,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,excellent for what I needed great complementary breakfast,friendly staff great location very clean,"no hot tub,",,11042.0,septiembre de 2022,Comentó en: 5 de septiembre de 2022
47,Estados Unidos,Den Room with King Bed,3 noches,En familia,Our Stay at the Hyatt House Irvine,"DnThe location was close to restaurants, stores, gas etc. The parking area was safe and the grounds. The rooms were very clean and comfortable and the staff was great ! I will stay there again when I am in Irvine. I highly recom.end Hyatt House ! The breakfast spread was great !!",No room service but otherwise everything was wonderful !!,,11042.0,agosto de 2022,Comentó en: 3 de agosto de 2022
48,Israel,Den Room with King Bed,5 noches,En familia,Fantástico,The room was very nice and clean. The staff was nice. The only problem was the bad. The mattress was extremely soft and uncomfortable,,,11042.0,junio de 2022,Comentó en: 26 de junio de 2022
49,Estados Unidos,Den Room with King Bed,8 noches,Persona que viaja sola,it was ok,the location is great,everything was fine except the mattress. it was way too soft and uncomfortable.,,11042.0,junio de 2022,Comentó en: 23 de junio de 2022
50,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1 noche,Persona que viaja sola,will keep coming back!,"everything was fantastic. great location, huge and comfortable suite, very functional kitchenette, central location, easy parking, nice shower.",the only ding was a hair on one of the towels. a bit gross. but all else was great.,,11042.0,junio de 2022,Comentó en: 20 de junio de 2022
51,Estados Unidos,Den Room with King Bed,1 noche,En pareja,I only stay at hyatts because I Iove the properties in general but I may not return to this one because of the staff,up to date interior and luxurious feel.,housekeeping was super pushy when I was trying to extend my stay,,11042.0,junio de 2022,Comentó en: 18 de junio de 2022
52,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,"it was clean, good breakfast. good value for the money spent.","spacious, clean",,,11042.0,mayo de 2022,Comentó en: 23 de mayo de 2022
53,Estados Unidos,Den Room with King Bed,3 noches,En pareja,far exceeded expectations,"fantastic customer service and customer focus. great breakfast. newer, modern building so rooms are up to date and fresh. appreciated the safe dedicated parking.",,,11042.0,marzo de 2022,Comentó en: 19 de mayo de 2022
54,Arabia Saudí,Habitación Doble - 2 camas dobles y sofá cama,1 noche,En grupo,Muy bien,"Clean , big rooms , comfortable bed","No service, little far",,11042.0,mayo de 2022,Comentó en: 14 de mayo de 2022
55,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,4 noches,En familia,i love the vibe at all hyatt house properties we stay at,"sleek, clean, helpful staff.",main floor restrooms were a bit unpredictable but not too bad,,11042.0,abril de 2022,Comentó en: 19 de abril de 2022
56,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Excepcional,"The property was clean, the rooms were extremely comfortable and spacious, the staff was friendly and helpful, in the morning breakfast was wonderfully delicious. My family had a great time and felt safe and well taken care of.",Absolutely nothing,,11042.0,abril de 2022,Comentó en: 4 de abril de 2022
57,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,5 noches,En pareja,perfect week getaway,"really nice facilities, close to all the essentials and what the city had to offer",wish I had a balcony,,11042.0,abril de 2022,Comentó en: 3 de abril de 2022
58,Canadá,Habitación Doble - 2 camas dobles y sofá cama,5 noches,En familia,A good property with poor staff and cleaning work.,"The first day they didn't clean our bed, we have to spend a night on the dirty bed. When we complained, they didn't show any sorry. The third day, we found some hair and other dirty things after they cleaned the room. 
The breakfast staff is very active for close supply at 9:30AM. We missed 3 times of breakfast.",Improve your cleaning work. Let breakfast open a little longer.,,11042.0,marzo de 2022,Comentó en: 25 de marzo de 2022
59,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En pareja,we loved the hotel and the staff!,new and very clean staff was really great!!,,,11042.0,marzo de 2022,Comentó en: 4 de marzo de 2022
60,Estados Unidos,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,3 noches,Persona que viaja sola,Fantástico,Abel the manager was amazing great service he needs a bonus!,I wish I could of had some breakfast before my flight out.,,11042.0,febrero de 2022,Comentó en: 15 de febrero de 2022
61,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,4 noches,En familia,Fantástico,Great size room and very clean. Really helpful staff.,,,11042.0,enero de 2022,Comentó en: 31 de enero de 2022
62,Singapur,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,Persona que viaja sola,as expected,as per photos - one bed studio was great,a bit dirty- glasses and old filter in coffee machine,,11042.0,enero de 2022,Comentó en: 23 de enero de 2022
63,Francia,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,2 noches,Persona que viaja sola,Fantástico,"Breakfast was great, staff friendly and the hotel was very clean.",The water pressure in the shower was weak.,,11042.0,diciembre de 2021,Comentó en: 18 de enero de 2022
64,Suiza,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,Persona que viaja sola,Highly recommended property!,Great staff. Great modern room. Highly recommended property!,Breakfast was a bit simple but otherwise all tip top!,,11042.0,enero de 2022,Comentó en: 16 de enero de 2022
65,Estados Unidos,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,4 noches,En grupo,Absolutely loved it!,Very welcoming,Can’t think of much to not like,,11042.0,diciembre de 2021,Comentó en: 15 de enero de 2022
66,Indonesia,Suite Estudio con cocina y sofá cama - Cama extragrande,5 noches,En familia,Excepcional,The location and the room,Price is a little bit higher,,11042.0,diciembre de 2021,Comentó en: 28 de diciembre de 2021
67,Estados Unidos,Den Room with King Bed,4 noches,En familia,Excellent hotel and location!,"Everything was top notch! Clean rooms, bathroom, friendly staff, great free continental breakfast, location close to SNA airport, and location in Irvine not far from everything south of LA and the coast, beautiful!",Can’t think of anything we did not like.,,11042.0,diciembre de 2021,Comentó en: 21 de diciembre de 2021
68,Estados Unidos,Den Room with King Bed,1 noche,En pareja,Excepcional,my car got deeply scratched by one of the guest’s car overnight in the parking lot . it was basically hit and ran.,,,11042.0,diciembre de 2021,Comentó en: 20 de diciembre de 2021
69,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,Persona que viaja sola,Will stay again.,Modern inside and out. Beautiful selection of artwork all over the hotel.,,,11042.0,diciembre de 2021,Comentó en: 10 de diciembre de 2021
70,Estados Unidos,Den Room with King Bed,2 noches,En pareja,great weekend —very close to the Laguna Wilderness where hiking abs off roaring biking is one of the best in the south,the breakfast spread was delicious! Great healthy options. love the modern clean simple furnishings. The bed perfect.,I would like to see an upgrade in linens/sheets. I’ve stayed a couple Hyatt houses and have had higher quality sheets there compared to this one. This is a really important feature for me in hotel selection. thank you!,,11042.0,diciembre de 2021,Comentó en: 7 de diciembre de 2021
71,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,12 noches,En pareja,we stayed there because we needed to be near my parents house while my mother died,booking. com,it just was more than I expected for parking. we had two cars one with a handicap sticker but they still charged 36 per day. ouch!!,,11042.0,noviembre de 2021,Comentó en: 2 de diciembre de 2021
72,Estados Unidos,Den Room with King Bed,4 noches,En pareja,"Overall, the facilities were very good--clean, comfortable room and common areas.","The rooms were very clean which is probably the most important aspect for me when traveling. The housekeeping staff was very friendly and accommodating. I also liked the wonderful couch in the room with the two ottomans. It was so refreshing to have a comfortable place to watch TV and work on the computer. It also had the right amount of facilities in the lobby--a pleasant bar, sufficient tables to get together to talk, a business/work area, and a small snack/grocery store.","The breakfast was awful. The bagels tasted like paper, and there weren't really other options for a bread. A few muffins, different types of bread, maybe some Danish or croissants would have helped. We didn't bother after the first day; it was that bad. It could have been open a bit later as well.
Another problem--no available coffee after breakfast. Just having the coffee and real cream available all day makes a huge difference!
Paying for parking is the one thing that would deter us from coming back.",,11042.0,noviembre de 2021,Comentó en: 26 de noviembre de 2021
73,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,2 noches,En familia,Friendly and clean hotel.,It was clean and had friendly staff.,none,,11042.0,noviembre de 2021,Comentó en: 25 de noviembre de 2021
74,Israel,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En pareja,Excellent,The room.the breakfast.the staff .the kitchen,,,11042.0,octubre de 2021,Comentó en: 10 de octubre de 2021
75,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En familia,Excepcional,"One of the best stays I’ve ever had.
Hotel was amazing! Cannot complain at all!",,,11042.0,septiembre de 2021,Comentó en: 5 de septiembre de 2021
76,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",3 noches,En familia,overall this is a great option for staying in the area,Breakfast was great.,,,11042.0,agosto de 2021,Comentó en: 4 de septiembre de 2021
77,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En pareja,goog,everithing is okey,i need to pay for parking,,11042.0,agosto de 2021,Comentó en: 16 de agosto de 2021
78,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,4 noches,En familia,Excepcional,"Staff was helpful and courteous, from housekeeping to management. My daughter is looking at UC Irvine for college and I would definitely stay here again if she chooses that college.",Nothing,,11042.0,agosto de 2021,Comentó en: 16 de agosto de 2021
79,Egipto,Habitación Doble - 2 camas dobles y sofá cama,6 noches,En familia,Value for money for families with children and the laundry option is a saver,The room was always clean and there was always refills of everything,The varieties are little and no gluten-free replacements for bread or bagel even when I requested so.,,11042.0,julio de 2021,Comentó en: 4 de agosto de 2021
80,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,4 noches,En familia,Muy bien,Roomy and comfortable,,,11042.0,julio de 2021,Comentó en: 30 de julio de 2021
81,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",6 noches,En familia,Fantástico,Clean spacious rooms. Friendly staff. Would definitely stay again.,,,11042.0,julio de 2021,Comentó en: 6 de julio de 2021
82,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,3 noches,En familia,Great dog friendly hotel!!,"Large dog friendly rooms made our family trip an awesome experience. The room was clean and the size was perfect.the location is in a nice and safe location with nearby access to the airport, restaurants, UCI, Irvine Spectrum, and just about everything that you need to have available. This is a 10/10 hotel for a family trip!",Nothing,,11042.0,julio de 2021,Comentó en: 5 de julio de 2021
83,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En familia,Muy bien,The setup of my room.,My rollout bead was almost unusable it was so hard!!!,,11042.0,mayo de 2021,Comentó en: 4 de julio de 2021
84,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1 noche,En familia,Excepcional,Clean and thoughtfulness of customers is recognized.,I didn’t stay long enough :),,11042.0,junio de 2021,Comentó en: 28 de junio de 2021
85,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,2 noches,En familia,The staff was perfect !,House cleaning wasn't satisfactory. We asked the room to be clean but when we came back it was the same way we left it.,,,11042.0,junio de 2021,Comentó en: 23 de junio de 2021
86,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,7 noches,En familia,"This hotel is comfortable, friendly, and clean with a fantastic location.","Our room was quiet, comfortable, and huge- plenty large for our family of five. Everything, including the kitchen and bathroom, was perfectly clean. Breakfast was generous and delicious. All of the staff we came into contact with were over the top friendly and helpful. We would definitely stay here again.",The pull out sofa bed was extremely uncomfortable. I also would like more drawers/ storage furniture. There wasn't room for everyone to totally unpack for our week long stay- actually only enough drawers for one person.,,11042.0,junio de 2021,Comentó en: 20 de junio de 2021
87,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",2 noches,En grupo,Fantástico,"The setup of the hotel room was comforting and spacious. Hotel service and employees were very welcoming and easy to communicate with. The location of the hotel was perfect and was a close enough distance from beaches, shopping, and restaurants.",There was not anything I did not dislike about the hotel. Everything was suitable for what my trip was planned for. Everything went well and we were treated respectfully.,,11042.0,abril de 2021,Comentó en: 25 de mayo de 2021
88,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,1 noche,En familia,Beautiful hotel,Thank you,,,11042.0,mayo de 2021,Comentó en: 16 de mayo de 2021
89,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,1 noche,En familia,Excepcional,"The room was modern, spacious and clean. We were so impressed we stayed another night just because of the room.",,,11042.0,mayo de 2021,Comentó en: 11 de mayo de 2021
90,Estados Unidos,Den Room with King Bed,1 noche,En pareja,Cannot wait to come back!,Super clean and modern. Very friendly staff. The bed and pillows were exceptionally comfortable.,,,11042.0,abril de 2021,Comentó en: 29 de abril de 2021
91,Estados Unidos,Den Room with King Bed,1 noche,Persona que viaja sola,Modern comfortable hotel,"Clean, safe, convenient location, not a super big hotel, fast elevators, modern decor, great staff","Noisy guests made it hard to fall asleep. They have a quiet time that you agree to when checking in. But I guess people don’t care.
Modified breakfast offerings were a little disappointing during Covid.",,11042.0,abril de 2021,Comentó en: 28 de abril de 2021
92,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Excepcional,It was clean and had everything we needed,Everything was great no negative comments,,11042.0,abril de 2021,Comentó en: 12 de abril de 2021
93,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En familia,Not bad but would probably try somewhere else next time.,"Front desk staff friendly; pizza was not good. Breakfast was ok. Housekeeping very nice. I liked the location of parking too., kitchen was nice.","Sound of fan; no real blanket, water in shower was barely warm.",,11042.0,noviembre de 2023,Comentó en: 17 de noviembre de 2023
94,Kuwait,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",3 noches,En pareja,"Worst experience ive had. Will not come back again, not even they were the only hotel left.",Location was good,"The check in was unwelcoming and bad, Cindy the manager was unprofessional and unpleasant. They made 3 different debits on the cards. 3 identical charges and when we informed them they specifically said “ it was the system, automated” . This by far the worst experience I’ve had. And when checking out, we confronted them with this issue, and they were of no help. We missed our scheduled time of leave by 2 hours just because of this issue which really did not make any sense.
If it wasn’t for this issue, i might have given this stay and place a 5-6 out of 10.",,11042.0,octubre de 2023,Comentó en: 5 de octubre de 2023
95,Estados Unidos,Den Room with King Bed,1 noche,En familia,Bien,The facility is nice and clean,The food was not so good,,11042.0,septiembre de 2023,Comentó en: 20 de septiembre de 2023
96,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,2 noches,En familia,No desk????,Spacious and clean,The suite was large but sparsely furnished and decorated. There was literally half of the sitting room unused due to a lack of furniture. The addition of a desk and lamp would due wonders for the hotel. Also the rooms are dark.,,11042.0,septiembre de 2023,Comentó en: 6 de septiembre de 2023
97,Emiratos Árabes Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En familia,Bad service,Good location,Did not clean our room for 4 days. Poor staff communication. We called the help desk several times and still no one came to clean our room,,11042.0,agosto de 2023,Comentó en: 11 de agosto de 2023
98,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Aceptable,Location and room were really good.,Being forced to pay parking to stay at this hotel. Check-in staff were impersonal and made this stay feel corporate and soulless.,,11042.0,febrero de 2023,Comentó en: 20 de febrero de 2023
99,Turquía,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En familia,Agradable,location,bed and sofa bed were uncomfortable,,11042.0,septiembre de 2022,Comentó en: 3 de octubre de 2022
100,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En familia,Bien,"no room service, but breakfast was good",no room service,,11042.0,septiembre de 2022,Comentó en: 19 de septiembre de 2022
101,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En familia,good hotel with no customer-oriented staff,"Good location, it is just in the centre in Orange County. Clean, comfortable and stylish room (studio), nice breakfast and tasty coffee","Staff: We asked for additional blanket as it was cold for kids. We had one, but only for master bed. The staff brought a thin plaid. Kids said that it was still cold. I called and asked for a real warm blanket. They said that we had one, so they could not give us any more. 
Only after my reminder that we had paid for 4 persons and got a blanket for 2, they brought a normal blanket. All these calls and explanations and arguments took so
much time and energy that we were very tired and disappointed.",,11042.0,agosto de 2022,Comentó en: 8 de septiembre de 2022
102,Estados Unidos,King Studio Suite with Accessible Tub - Disability Access,2 noches,En familia,families with children: beware,The proximity to everything near the airport,"Food from the kitchen was unsafe to eat (pizza dough served raw), lack of communication about changes to reservations, pool closed, liquids spilled all over the lobby, shortage of vinyl gloves at breakfast, hallways and rooms were always hot and muggy, staff was generally inattentive and didn’t have any information about why the pool was closed or when/if it would reopen. definitely not a good location for a family that has children looking forward to using a pool.",,11042.0,septiembre de 2022,Comentó en: 7 de septiembre de 2022
103,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,8 noches,En familia,Bien,"Location.
The size of the room.
Friendly staff.","The breakfast.
And the location of the pool. There was only sunlight from 10am- 12pm. And with the building so high no sun hit the pool",,11042.0,julio de 2022,Comentó en: 26 de julio de 2022
