,nationality,acommodation,stay,company,review_title,good_review,bad_review,url,hotel_id,date
51,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,3 noches,Persona que viaja sola,Nice hotel with great views of downtown SF and the bay.,"Clean, nice spacious room with a great view, great downtown location, lovely staff",Food pretty overpriced,,429.0,octubre de 2023
52,Estados Unidos,Habitación con balcón y vistas a la ciudad - 2 camas grandes,2 noches,En familia,Excepcional,The customer service was great our room was very nice and modern and we had a great partial bay view,,,429.0,octubre de 2023
53,México,Habitación con vistas a la bahía - 1 cama extragrande,2 noches,En familia,Great place to walk around San Francisco downtown,"Great location and building, rooms are really nice",Price of Valet Parking,,429.0,octubre de 2023
54,Estados Unidos,Habitación con 2 camas grandes,1 noche,En grupo,n/a,clean and beds were comfortable,nothing,,429.0,octubre de 2023
55,Egipto,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,excellent but very expensive,The location the Architecture of the hotel,Over charged for no reason (+100 USD),,429.0,octubre de 2023
56,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En pareja,Fun night in the city!,"Room size and cleanliness was positive. Very little outside noise. 
We are locals and enjoyed a night on the town. All walkable!","Room had an odd odor like old cigarette smoke (room 649). 
Older heavy set waitress looked miserable and not very friendly. We ended up being waited in by a very nice woman.",,429.0,octubre de 2023
57,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Loved the balcony and how beautiful the room was.,Room was beautiful. The hotel itself was inviting and the staff was pleasant.,There was a throw up stain near the balcony doors. It had been cleaned but was still noticeable.,,429.0,septiembre de 2023
58,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,We loved the facility the room,It had balcony you get the ocean view,Parking $80 it’s crazzy price,,429.0,octubre de 2023
59,Sudáfrica,Habitación con cama extragrande y acceso al club,4 noches,Persona que viaja sola,Wonderful location easy access to everything,"Location
Comfort
The view 
The balcony 
The room was spectacular",Nothing,,429.0,octubre de 2023
60,Pakistán,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,Persona que viaja sola,Great place to stay.,The hotel is located at a very convenient location. The ambiance of the hotel is great. all staff were very helpful and smiling. room was spacious and beds comfortable. Rooms were clean and with all amenities. The buffet breakfast was ok. Would definitely recommend the hotel.,Nothing,,429.0,septiembre de 2023
61,Sri Lanka,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Value for money and superb helpful staff,Superb staff and helpful not like majority of other hotels in USA that you need to carry all your bags all alone. This hotel they have the services that I expected. I would say one of the hotels really do the service business properly. Majority of other hotels has just turned to profit protected by now.,The Restaurants closing too early and the room I stayed had noise coming from outside slightly. Few people were Loud at the walking path like 12-2am and that disturbed my sleep. I am a person who awakes up for even a small noise.,,429.0,septiembre de 2023
62,Estados Unidos,Habitación Doble con 2 camas dobles y vistas a la bahía,1 noche,En grupo,Fantástico,Great location. Comfortable room.,Checkin is 4pm. Not enough seating in lobby. Price too high.,,429.0,octubre de 2023
63,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,2 noches,En pareja,It was very memorable,I wish breakfast was included,No Stores close by,,429.0,octubre de 2023
64,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,En pareja,Excellent,No complaints except could not find ice maker.,,,429.0,octubre de 2023
65,Israel,Habitación con cama extragrande.,1 noche,En familia,Fantástico,Good location. Nice and clean hotel,,,429.0,octubre de 2023
66,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Excepcional,Everything,Pillows,,429.0,septiembre de 2023
67,República Checa,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,Persona que viaja sola,Fantástico,"I can compare this hotel with other (expensive 5 stars) hotels in SF-downtown or warf surroundings , which visited we in the past .. Hyatt Regency is fabulous !",,,429.0,septiembre de 2023
68,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En familia,Muy bien,The view!!! Really nice and clean room. Great location. The sweetest lady at the reception recommended us a room with the best view and organised an extra bed for our son. Nice design of the room and the lobby.,"No slippers or robes, no water bottles in the room. Extremely long elevator waiting times.",,429.0,octubre de 2023
69,Estados Unidos,Habitación con cama extragrande.,1 noche,Persona que viaja sola,Excepcional,The parking cost is outrageous,,,429.0,septiembre de 2023
70,Estados Unidos,Habitación con 2 camas grandes,1 noche,En familia,"Very Good hotel by itself, just the location us not very safe and some noise from streets at night kept me awake","Very good lobby and friendly staff . Room upgraded to ocean view high floor king suit , which are very good.","Very loud noise from the street in night time. Although we are in the high floors , can hear people kicking garbage bins on street, and very loud noise from streets. 
Also the buffet breakfast is not deserve the money.",,429.0,septiembre de 2023
71,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Our stay in SF for the Giants game,"Location, friendly staff, & clean room & hotel.","I asked for a small fan before we got there & it wasn't in our room, but that was about it.",,429.0,octubre de 2023
72,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En pareja,Excepcional,Loved the location,,,429.0,septiembre de 2023
73,Canadá,Habitación con vistas a la bahía - 1 cama extragrande,2 noches,En familia,Excepcional,The hotel was over the top with amenities. We loved the regency club,Nothing we didnt like,,429.0,agosto de 2023
74,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,4,I love it,,,429.0,septiembre de 2023
75,Polinesia Francesa,Habitación Doble con 2 camas dobles y vistas a la bahía,4 noches,En familia,"Splendide hôtel, architecture exceptionnelle.",Splendide hôtel à l'architecture exceptionnelle.,,,429.0,septiembre de 2023
76,Emiratos Árabes Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3 noches,En pareja,Surviving SF Marathon without bathtub,A hint of fascist architecture 😂,Somewhat spectacular but missing a bathtub,,429.0,julio de 2023
77,Alemania,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,9 noches,En pareja,Excepcional,The bay view from the balcony. The PC with the fast internet in the lobby. The friendly staff.,The slow wlan connection.,,429.0,agosto de 2023
78,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Great clean hotel,Location,,,429.0,septiembre de 2023
79,Estados Unidos,Habitación con 2 camas grandes,2 noches,En familia,Pleasant stay. Thank you,Nice clean hotel and kind helpful staff.,The elevators took too long to arrive.,,429.0,junio de 2023
80,India,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3 noches,Persona que viaja sola,too good!,overall location staff everything else about the property,everything was good,,429.0,agosto de 2023
81,Reino Unido,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,5 noches,En pareja,Fantástico,The hotel,,,429.0,septiembre de 2023
82,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Not what I lit used to be.,Location,Limited hours of the bar; no sit down dining faculty.,,429.0,septiembre de 2023
83,Malasia,Habitación Doble con 2 camas dobles y vistas a la bahía,6 noches,En grupo,Excepcional,All the staff are friendly and helpful.. We love the stay,Everything was good❤️,,429.0,septiembre de 2023
84,Israel,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Excepcional,All was exellent,,,429.0,septiembre de 2023
85,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,En pareja,Excellent hotel,"Beautiful hotel, great location. The lobby and elevators are very cool. Our room was comfortable and well-appointed, with a lovely view of the bay. And high marks for cleanliness!! The shower had awesome water pressure. All of the employees we spoke to (front desk, valet, bar) were very nice and helpful. Overall, this was a superb hotel. Highly recommend.","The parking charge was a bit high ($80/night, but you can take it in and out), but it wasn't out of line with other hotels in the area and the valet was speedy/easy to deal with.",,429.0,agosto de 2023
86,Estados Unidos,Habitación con 2 camas grandes,2 noches,En grupo,Excepcional,"Customer service, location, cleanliness.",Price for parking is very high!,,429.0,agosto de 2023
87,Kuwait,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En familia,Wonderful stay and it was the second time book in it,Huge nice hotel and great location.,Nothing dislike,,429.0,agosto de 2023
88,Nueva Zelanda,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,3 noches,En familia,"Luxury hotel, cool 1970s building, renovated rooms, close to cable cars,Bart and ferry","Huge room, great view, clean, amazing building.",It was all pretty good.,,429.0,agosto de 2023
89,Australia,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,4 noches,En pareja,So welcoming and easy.,"Everything.
All staff so friendly.
Great room.",Nothing,,429.0,agosto de 2023
90,Reino Unido,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3 noches,En pareja,great place to base your sightseeing of city,"location, room and bar",nothing,,429.0,agosto de 2023
91,Kenia,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,3 noches,En familia,Excepcional,The hotel itself was amazing. Tashi at reception had amazing customer service skills.,The restaurant did not have much choice for food especially vegetarian dishes,,429.0,agosto de 2023
92,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En familia,"Beautiful hotel with stunning views of SF bay, 900+ ft from the Embarcadero for dining, shopping.","Stunning view of the SF bay from our 11th floor balcony! Beautiful building & perfect location across from the Ferry building for dining, shopping & lovely to be able to walk along the Embarcadero. King size room was spacious, well appointed & super clean. Comfortable bed & bath & staff we encountered were friendly & helpful. Appreciated the checkout @ noon.",All was lovely.,,429.0,agosto de 2023
93,Canadá,Habitación con 2 camas grandes,4 noches,Persona que viaja sola,Comfortable stay.,"Location was convenient to transit and all amenities and attractions. Clean, comfortable and spacious.",Resort fee provided minimal value.,,429.0,agosto de 2023
94,Sudáfrica,Habitación con vistas a la bahía - 1 cama extragrande,3 noches,En familia,Comfortable and enjoyable.,"The property was modern, excellent location, cleanliness and professional staff. Excellent value for a four star hotel.",No breakfast.,,429.0,agosto de 2023
95,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Double check that breakfast is included,The location was excellent for what we wanted to do.,"Booking.com stated that breakfast was included, which was a factor in selecting the hotel. However, we were charged $30 per person. When I questioned the charges, I was told it was due to using Booking.com to reserve the room.",,429.0,julio de 2023
96,México,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En familia,"Great Hotel, location within touristic attractions,","location, cleanliness! big confy beds.","The Regency Club doesn't meet our expectations, we paid an additional surcharge which was expensive, for having pepsis, and water, the breakfast was not good.",,429.0,agosto de 2023
97,Filipinas,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,3 noches,En familia,Great location,Location,None,,429.0,agosto de 2023
98,Canadá,Habitación Doble con 2 camas dobles y vistas a la bahía,3 noches,En familia,Fantástico,"Good value, nice clean modern rooms and the location was great being close to the streetcar. Very easy to get to tourist attractions.",,,429.0,agosto de 2023
99,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,2 noches,Persona que viaja sola,I went for the outside lands festival. It was my best stay. Convenient and very delightful.,"It is very clean.
The location is great.
The room with the view are amazing. The service is excellent.",,,429.0,agosto de 2023
100,Estados Unidos,Habitación con 2 camas grandes,1 noche,En familia,Always very clean and welcoming and comfortable,Buffet breakfast,,,429.0,agosto de 2023
101,Estados Unidos,Habitación con 2 camas grandes,2 noches,En grupo,Would come nack,Great staff. Helpful,,,429.0,julio de 2023
102,Arabia Saudí,Habitación Doble con 2 camas dobles y vistas a la bahía,3 noches,En familia,Excepcional,"The room is spacious with comfortable beds, the location is fantastic near to the sea and many attractions",Nothing,,429.0,agosto de 2023
103,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,En grupo,Muy bien,Balcony room higher level nice view,,,429.0,agosto de 2023
104,Estados Unidos,Habitación con balcón y vistas a la bahía - 1 cama extragrande - Planta alta,5 noches,Persona que viaja sola,"I recovered, rested and recharged my tank to full!","Excellent room, view and location! I would stay here again and again!",,,429.0,agosto de 2023
105,Canadá,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3 noches,En pareja,Excepcional,"Great location, nice rooms",,,429.0,agosto de 2023
106,Australia,Habitación con cama extragrande.,2 noches,Persona que viaja sola,Fantástico,"Great location, stunning lobby, room comfortable and well maintained",A little pricey,,429.0,agosto de 2023
107,Estados Unidos,Habitación con balcón y vistas a la bahía - 1 cama extragrande - Planta alta,1 noche,En pareja,Excepcional,Very clean! Great location for walking around,Can’t complain about anything,,429.0,agosto de 2023
108,Egipto,Habitación con cama extragrande.,4 noches,En pareja,"Very good location , nice staff",Very good location,Regency club service,,429.0,julio de 2023
109,Estados Unidos,Habitación con cama extragrande.,1 noche,Persona que viaja sola,Excepcional,"The architectural design of the lobby is an engineering marvel.
Everything in the room I stayed was incredibly chic and contemporary. The bathroom was heavenly - great water pressure and excellent shower design. The bed was incredibly comfortable. And the lighting was wondrous - especially the motion sensor lights at the bottom of the bed that softly let you know how close to the bed you are.",,,429.0,julio de 2023
110,Estados Unidos,Habitación con balcón y vistas a la ciudad - 2 camas grandes,2 noches,En grupo,Fantástico,beautiful. The location is amazing. Inside is very fancy. We loved staying next to the Embarcadero. The view was nice.,It could be perfect with a rooftop and a pool or a spa !,,429.0,julio de 2023
111,Estados Unidos,Habitación con 2 camas grandes,1 noche,En familia,Excepcional,The view from our room.,N/A,,429.0,junio de 2023
112,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Excepcional,Everything,Was offered a least desirable room at first. Later on after asking for a room with a better view everything worked out ok.,,429.0,julio de 2023
113,Taiwán,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,4 noches,En familia,Excepcional,clean room and great location,None,,429.0,julio de 2023
114,Vietnam,Habitación con 2 camas grandes,2 noches,En familia,Fantástico,Modern hotel and comfort room,None,,429.0,julio de 2023
115,Suiza,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,5 noches,En familia,Perfect location to stay in San Francisco. Nice hotel. I’ll come back,Beds are so comfortable,,,429.0,agosto de 2023
116,Canadá,Habitación con cama extragrande.,3 noches,En familia,Great place to stay and in an excellent location.,Very friendly staff. Hotel was very clean.,Noise from the street could be heard at times.,,429.0,agosto de 2023
117,Estados Unidos,Habitación con 2 camas grandes,3 noches,En grupo,Excepcional,Everything was perfect,,,429.0,julio de 2023
118,Estados Unidos,Habitación con 2 camas grandes,3 noches,En familia,Beautiful but pricey,"This was a beautiful hotel. The Lobby is stunning. It was right near the ferry and central to all transportation. The room was big, clean and there was daily service.",Breakfast is not included if you choose the Breakfast package. Instead it is $32/day/per person . This was one of my reasons for booking this hotel. The hotel market prices were crazy expensive. Valet was also $80 a day. It made this trip pretty expensive. Homeless problem in area but I am sure that's not to be avoided when being so centrally located.,,429.0,julio de 2023
119,Estados Unidos,Habitación con cama extragrande y bañera adaptada - Adaptada para personas de movilidad reducida,1 noche,En familia,Excepcional,Regency Club,,,429.0,julio de 2023
120,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,En pareja,Perfect location. Beautiful hotel,It was clean and beautiful,Nothing,,429.0,julio de 2023
121,Estados Unidos,Habitación con balcón y vistas a la bahía - 1 cama extragrande - Planta alta,3 noches,En pareja,Really loved the hotel and the staff. Great location and a lovely place to land!,"Room was great, clean and roomy. The location of the hotel was so convenient for sightseeing, the train, cable cars, etc. Staff was great!","$80 per night for valet parking seems extreme. We pulled in on July 14th, stayed 3 nights and never used the car until it was time to leave on the 17th. But props to the valet guys, they were great!",,429.0,julio de 2023
122,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,2 noches,En pareja,Excepcional,Location,,,429.0,julio de 2023
123,Estados Unidos,Habitación con 2 camas grandes,2 noches,En familia,"Great location, will stay again on future visits to San Francisco.","Clean rooms. Very friendly staff. Great location. Walking distance to Alcatraz Ferry, Fisherman's Wharf, Chinatown.",Food prices were high.,,429.0,julio de 2023
124,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,It was a memorable stay that felt like a great treat for a weekend away!,Beautiful hotel and nicely updated bathroom. Spacious room. Liked the availability of the mini fridge.,"Price was higher than what we usually spend on a night stay. 
No electric charge option in parking.",,429.0,julio de 2023
125,Estados Unidos,Habitación con balcón y vistas a la ciudad - 2 camas grandes,4 noches,En familia,Excepcional,"Awesome hotel restaurant. We don't usually like the hotel restaurants, but this was exceptional.",,,429.0,junio de 2023
126,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Excepcional,"Super clean, GREAT location, and very beautiful",It was a tiny bit confusing to get to from maps to location but security staff in area was extremely helpful,,429.0,julio de 2023
127,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Muy bien,I loved everything about it !Very nice and upscale,It didn’t have a microwave in the room,,429.0,julio de 2023
